,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
461,uglekamensk,2014573,43.22,-8.13,0,62,2.01
462,engels,563464,51.5,12.2,0,92,8.95
463,nanakuli,5851349,21.39,66.92,40,80,4.7
464,pyaozerskiy,503581,65.83,24.99,68,91,8.72
465,moose factory,6078372,51.26,-4.01,1,64,5.82
466,tachov,3064373,49.8,35.6,90,80,3.36
467,jega,2336237,12.22,78.9,68,24,8.61
468,nanyamba,877581,-10.69,82.4,40,88,16.11
469,colares,2269142,38.8,55.4,0,66,10.29
470,coquimbo,3893629,-29.95,71.6,20,49,16.11
471,weinan,1791636,34.5,17.6,0,92,2.24
472,cabra,2520645,37.47,53.6,0,46,3.36
473,manaus,3663517,-3.13,86.0,75,70,8.05
474,san patricio,3437029,-26.98,83.4,92,83,5.03
475,tagbac,1697559,7.09,78.8,75,83,8.05
476,nueva helvecia,3441483,-34.28,92.13,36,57,6.71
477,hat yai,1610780,7.0,78.8,75,94,8.28
478,kholtoson,2022369,50.3,-33.87,0,0,2.57
479,kudahuvadhoo,1337607,2.67,82.37,92,100,10.18
480,la trinite,3026260,48.25,44.6,90,75,3.36
481,port augusta,2063056,-32.49,66.2,0,77,13.87
482,waipawa,2185329,-39.94,64.23,88,77,12.75
483,baculin,1729469,7.45,77.01,20,94,14.65
484,inirida,3671450,3.87,84.57,36,76,2.8
485,kahramanmaras,310859,37.58,31.74,92,97,2.01
486,kampong thum,1831125,12.71,76.52,68,77,5.48
487,baruun-urt,2032614,46.68,-12.77,0,54,9.51
488,nyurba,2018735,63.29,-3.14,44,49,9.06
489,baksanenok,579571,43.69,30.2,90,100,2.24
490,masunga,933390,-20.62,75.2,40,69,2.24
491,nador,2541479,35.17,59.0,0,44,1.12
492,paamiut,3421193,61.99,33.45,80,93,22.15
493,deputatskiy,2028164,69.3,-47.06,8,0,2.68
494,coracora,3942259,-15.02,59.82,12,60,3.13
495,charcas,4014501,23.13,62.97,0,78,4.36
496,saint-pierre,2995603,48.95,41.0,90,93,3.36
497,bundaberg,2173323,-24.87,73.4,40,83,6.93
498,sobolevo,525426,54.43,15.45,44,85,6.6
499,ketchikan,5554428,55.34,28.94,1,52,17.22
500,great falls,5655240,47.5,44.96,40,41,13.87
501,yarmouth,2633414,50.71,46.4,75,81,3.36
